"birthdate","injuredDays","up15","photo2","isActive","idTeam","nick","number","insertDatetime","price","height","isNational","isExitLeague","initialPrice","fullName","photo","url","fisicStatus","imageTeam","license","idPlayer","birthplace","nationality","competitionAverage","teamNegative","numberJourney","team","isLocal","pointsJourney","keep","imageTeamNegative","position","isExtraCommunity","shortName","nameTeam","age","down15","computeMatch"
"04/01/1994",0,54.4,"0000836095_5-6_03.jpg",TRUE,7,"Andric",37,"20251003T023757+0000",508571,"201",FALSE,FALSE,220000,"Mihajlo Andric","0000836087_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30002695","fit","breogan_00.png","EUR",244,"Kragujevac","Serbia",10.2,<chr>,<int>,<chr>,<lgl>,<dbl>,10.2,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"M. Andric","Río Breogán",32,-34.1,NA
"10/02/1994",0,52,"0000832428_5-6_03.jpg",TRUE,7,"Russell",4,"20250915T142624+0000",472759,"180",FALSE,FALSE,390000,"DeWayne Russell","0000832418_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30004003","fit","breogan_00.png","EXT",82,"Peoria (Arizona)","EE.UU.",9.5,<chr>,<int>,<chr>,<lgl>,<dbl>,9.5,"https://supermanager.acb.com/files/logo/breogan_00.png",1,TRUE,"D. Russell","Río Breogán",32,-33.1,NA
"24/01/1998",0,55.4,"0000832326_5-6_03.jpg",TRUE,7,"Aranitovic",17,"20250915T142624+0000",465938,"195",FALSE,FALSE,270000,"Aleksandar Aranitovic","0000832318_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003394","fit","breogan_00.png","EUR",77,"Belgrado","Croacia",9.3,<chr>,<int>,<chr>,<lgl>,<dbl>,9.3,"https://supermanager.acb.com/files/logo/breogan_00.png",3,FALSE,"A. Aranitovic","Río Breogán",28,-36.8,NA
"23/10/2001",0,46.6,"0000832375_5-6_03.jpg",TRUE,7,"Dibba",0,"20250915T142624+0000",423793,"206",FALSE,FALSE,380000,"Bakary Dibba","0000832365_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30004002","fit","breogan_00.png","EUR",79,"Copenhage","Dinamarca",8.5,<chr>,<int>,<chr>,<lgl>,<dbl>,8.5,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"B. Dibba","Río Breogán",24,-29.7,NA
"04/04/1997",0,44.2,"0000832539_5-6_03.jpg",TRUE,7,"Sakho",18,"20250915T142624+0000",402069,"207",TRUE,FALSE,410000,"Jordan Sakho","0000832530_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212244","injured","breogan_00.png","JFL",83,"Kinshasa","Rep. Democrática del Congo",8,<chr>,<int>,<chr>,<lgl>,<NULL>,8,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"J. Sakho","Río Breogán",29,-28.1,NA
"13/07/1995",0,41.4,"0000826860_5-6_03.jpg",TRUE,18,"Sulejmanovic",19,"20250915T142625+0000",398148,"205",FALSE,FALSE,440000,"Emir Sulejmanovic","0000826847_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20210828","injured","2324UnicajaLogo.png","EUR",219,"Luka Zepa","Finlandia",8,<chr>,<int>,<chr>,<lgl>,<NULL>,8,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"E. Sulejmanovic","Unicaja",30,-25.5,NA
"16/03/1991",0,21,"0000880934_5-6_03.jpg",TRUE,18,"Cobbs",11,"20260206T155857+0000",396000,"191",FALSE,FALSE,330000,"Justin Cobbs","0000880916_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30005249","fit","2324UnicajaLogo.png","EUR",294,"Los Angeles","Montenegro",7.9,<chr>,<int>,<chr>,<lgl>,<dbl>,7.9,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",1,FALSE,"J. Cobbs","Unicaja",35,-5.1,NA
"12/01/1990",0,33.2,"0000827062_5-6_03.jpg",TRUE,18,"Djedovic",14,"20250915T142625+0000",385714,"197",TRUE,FALSE,2e+05,"Nihad Djedovic","0000827048_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20202039","injured","2324UnicajaLogo.png","JFL",214,"Visegrad","Alemania",7.7,<chr>,<int>,<chr>,<lgl>,<NULL>,7.7,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",3,FALSE,"N. Djedovic","Unicaja",36,-17.7,NA
"14/08/1989",0,22.9,"0000860044_5-6_03.jpg",TRUE,18,"Rubit",21,"20251203T150957+0000",297222,"203",FALSE,FALSE,4e+05,"Augustine Rubit","0000860031_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30005177","fit","2324UnicajaLogo.png","EXT",258,"Texas","EE.UU.",5.9,<chr>,<int>,<chr>,<lgl>,<dbl>,5.9,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,TRUE,"A. Rubit","Unicaja",36,-11,NA
"19/12/1992",0,29,"0000827134_5-6_03.jpg",TRUE,18,"Kalinoski",4,"20250915T142625+0000",278519,"193",FALSE,FALSE,230000,"Tyler Kalinoski","0000827116_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30001169","fit","2324UnicajaLogo.png","EUR",213,"Cincinatti (Ohio)","EE.UU.",5.6,<chr>,<int>,<chr>,<lgl>,<dbl>,5.6,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",3,FALSE,"T. Kalinoski","Unicaja",33,-17.8,NA
"16/01/1997",0,28.9,"0000826937_5-6_03.jpg",TRUE,18,"Barreiro",7,"20250915T142625+0000",262414,"203",TRUE,FALSE,150000,"Jonathan Barreiro","0000826924_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20200191","fit","2324UnicajaLogo.png","JFL",222,"Cerceda (A Coruña)","España",5.2,<chr>,<int>,<chr>,<lgl>,<dbl>,5.2,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",3,FALSE,"J. Barreiro","Unicaja",29,-18.4,NA
"05/03/1998",0,23.5,"0000827009_5-6_03.jpg",TRUE,18,"Tillie",33,"20250915T142625+0000",255652,"208",FALSE,FALSE,3e+05,"Killian Tillie","0000826992_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003424","injured","2324UnicajaLogo.png","EUR",218,"Paris","Francia",5.1,<chr>,<int>,<chr>,<lgl>,<dbl>,5.1,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"K. Tillie","Unicaja",28,-13.3,NA
"19/01/2000",0,26.6,"0000832356_5-6_03.jpg",TRUE,7,"Kurucs",47,"20250915T142624+0000",223438,"193",TRUE,FALSE,280000,"Arturs Kurucs","0000832348_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20211887","fit","breogan_00.png","JFL",86,"Cesis","Letonia",4.5,<chr>,<int>,<chr>,<lgl>,<dbl>,4.5,"https://supermanager.acb.com/files/logo/breogan_00.png",3,FALSE,"A. Kurucs","Río Breogán",26,-17.7,NA
"03/10/1995",0,22.7,"0000832468_5-6_03.jpg",TRUE,7,"Apic",8,"20250915T142624+0000",217528,"206",FALSE,FALSE,260000,"Dragan Apic","0000832459_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000194","fit","breogan_00.png","EUR",75,"Novi Sad","Serbia",4.4,<chr>,<int>,<chr>,<lgl>,<dbl>,1.8,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"D. Apic","Río Breogán",30,-19.1,NA
"12/09/1992",0,9.4,"0000826829_5-6_03.jpg",TRUE,18,"Kravish",45,"20250915T142625+0000",212857,"208",FALSE,FALSE,310000,"David Kravish","0000826813_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000023","fit","2324UnicajaLogo.png","EUR",220,"Jolliet (Illinois)","Bulgaria",4.3,<chr>,<int>,<chr>,<lgl>,<dbl>,4.3,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"D. Kravish","Unicaja",33,-0.9,NA
"29/06/1999",0,16.4,"0000861869_5-6_03.jpg",TRUE,18,"Audige",1,"20251206T150958+0000",190476,"193",FALSE,FALSE,275000,"Chase Audige","0000861852_5-6_03.jpg",NA,"fit","2324UnicajaLogo.png","COT",265,"Pensilvania","Jamaica",3.8,<chr>,<int>,<chr>,<lgl>,<dbl>,3.8,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",3,FALSE,"C. Audige","Unicaja",26,-8.8,NA
"17/08/1991",0,9.5,"0000832496_5-6_03.jpg",TRUE,7,"Quintela",23,"20250915T142624+0000",123889,"186",TRUE,FALSE,130000,"Erik Quintela","0000832488_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30001182","fit","breogan_00.png","JFL",85,"Lugo","España",2.5,<chr>,<int>,<chr>,<lgl>,<dbl>,2.5,"https://supermanager.acb.com/files/logo/breogan_00.png",1,FALSE,"E. Quintela","Río Breogán",34,-4.6,NA
"27/03/2007",0,6.8,"0000826753_5-6_03.jpg",TRUE,18,"Butajevas",56,"20251101T164818+0000",148750,"206",FALSE,FALSE,175000,"Arturas Butajevas","0000826741_5-6_03.jpg",NA,"fit","2324UnicajaLogo.png","EUR",255,"Lietuva","Lituania",0,<chr>,<int>,<chr>,<lgl>,<NULL>,6,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"A. Butajevas","Unicaja",19,5.1,NA
"24/10/1991",0,9.8,"0000915009_5-6_03.jpg",TRUE,7,"Cruz",33,"20260513T160845+0000",212500,"208",TRUE,FALSE,250000,"Iván Cruz","0000915003_5-6_03.jpg",NA,"fit","breogan_00.png","JFL",331,"Madrid","España",0,<chr>,<int>,<chr>,<lgl>,<dbl>,8.5,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"I. Cruz","Río Breogán",34,7.2,NA
"20/03/2007",0,4.9,"0000827031_5-6_03.jpg",TRUE,18,"Trujillo",22,"20250926T201907+0000",85000,"194",TRUE,FALSE,1e+05,"Manuel Trujillo","0000827017_5-6_03.jpg",NA,"fit","2324UnicajaLogo.png","JFL",235,"Málaga","España",-1,<chr>,<int>,<chr>,<lgl>,<dbl>,4.4,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",1,FALSE,"M. Trujillo","Unicaja",19,3.9,NA
"19/10/1997",0,23.9,"0000910095_5-6_03.jpg",TRUE,7,"Walker",2,"20260424T151550+0000",260100,"186",FALSE,FALSE,360000,"Jordan Walker","0000910088_5-6_03.jpg",NA,"injured","breogan_00.png","EXT",328,"Indiana","EE.UU.",-3,<chr>,<int>,<chr>,<lgl>,<NULL>,21.6,"https://supermanager.acb.com/files/logo/breogan_00.png",1,TRUE,"J. Walker","Río Breogán",28,19.3,NA
"17/12/1993",0,85.8,"0000827265_5-6_03.jpg",TRUE,6,"Reyes",8,"20250915T142624+0000",740000,"202",TRUE,FALSE,270000,"Álex Reyes","0000827249_5-6_03.jpg","https://www.acb.com/jugador/temporada-a-temporada/id/20204133","fit","75632.png","JFL",73,"Cáceres","España",14.8,<chr>,<int>,<chr>,<lgl>,<dbl>,14.8,"https://supermanager.acb.com/files/logo/75575.png",3,FALSE,"A. Reyes","BAXI Manresa",32,-56.2,NA
"25/09/1992",0,69.1,"0000858728_5-6_03.jpg",TRUE,6,"Oriola",29,"20251120T090952+0000",705600,"208",TRUE,FALSE,380000,"Pierre Oriola","0000858720_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20202164","fit","75632.png","JFL",257,"Tárrega","España",14.1,<chr>,<int>,<chr>,<lgl>,<dbl>,14.1,"https://supermanager.acb.com/files/logo/75575.png",5,FALSE,"P. Oriola","BAXI Manresa",33,-40.9,NA
"28/01/2001",0,73,"0000826449_5-6_03.jpg",TRUE,12,"Wong",2,"20250915T142624+0000",663793,"190",FALSE,FALSE,3e+05,"Isaiah Wong","0000826437_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003992","fit","75611.png","EXT",140,"New Jersey","EE.UU.",13.3,<chr>,<int>,<chr>,<lgl>,<dbl>,13.3,"https://supermanager.acb.com/files/logo/75557.png",3,TRUE,"I. Wong","Dreamland Gran Canaria",25,-46.5,NA
"02/03/1993",0,72.7,"0000826633_5-6_03.jpg",TRUE,12,"Brussino",9,"20250915T142624+0000",661034,"205",FALSE,FALSE,620000,"Nico Brussino","0000826622_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212648","fit","75611.png","EUR",142,"Las Parejas","Italia",13.2,<chr>,<int>,<chr>,<lgl>,<dbl>,13.2,"https://supermanager.acb.com/files/logo/75557.png",3,FALSE,"N. Brussino","Dreamland Gran Canaria",33,-46.3,NA
"22/03/1997",0,32.3,"0000891723_5-6_03.jpg",TRUE,12,"Metu",25,"20260310T135253+0000",645556,"208",FALSE,FALSE,570000,"Chimezie Metu","0000891722_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003392","fit","75611.png","COT",314,"Los Ángeles (California)","Nigeria",12.9,<chr>,<int>,<chr>,<lgl>,<dbl>,12.9,"https://supermanager.acb.com/files/logo/75557.png",5,FALSE,"C. Metu","Dreamland Gran Canaria",29,-6.5,NA
"06/07/1993",0,65.7,"0000827579_5-6_03.jpg",TRUE,6,"Obasohan",32,"20250915T142624+0000",614286,"191",FALSE,FALSE,320000,"Retin Obasohan","0000827563_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003414","fit","75632.png","EUR",64,"Borgerhout","Bélgica",12.3,<chr>,<int>,<chr>,<lgl>,<dbl>,12.3,"https://supermanager.acb.com/files/logo/75575.png",1,FALSE,"R. Obasohan","BAXI Manresa",32,-41.2,NA
"20/01/2001",0,37.8,"0000827444_5-6_03.jpg",TRUE,6,"Benitez",2,"20250915T142624+0000",609231,"192",FALSE,FALSE,420000,"Hugo Benitez","0000827422_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003943","injured","75632.png","EUR",67,"Perpignan","Francia",12.2,<chr>,<int>,<chr>,<lgl>,<NULL>,12.2,"https://supermanager.acb.com/files/logo/75575.png",1,FALSE,"H. Benitez","BAXI Manresa",25,-13.4,NA
"19/07/2003",0,63.6,"0000827236_5-6_03.jpg",TRUE,6,"Ubal",11,"20250915T142624+0000",577931,"198",TRUE,FALSE,210000,"Agustín Ubal","0000827220_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30001332","fit","75632.png","JFL",74,"Montevideo","Italia",11.6,<chr>,<int>,<chr>,<lgl>,<dbl>,11.6,"https://supermanager.acb.com/files/logo/75575.png",3,FALSE,"A. Ubal","BAXI Manresa",22,-40.5,NA
"14/10/1998",0,38.1,"0000867475_5-6_03.jpg",TRUE,6,"Brooks",24,"20251217T162724+0000",560000,"185",FALSE,FALSE,440000,"Eli Brooks","0000867466_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30005189","fit","75632.png","EUR",270,"South Carolina","Irlanda",11.2,<chr>,<int>,<chr>,<lgl>,<dbl>,11.2,"https://supermanager.acb.com/files/logo/75575.png",3,FALSE,"E. Brooks","BAXI Manresa",27,-15.7,NA
"16/08/1992",0,61,"0000826661_5-6_03.jpg",TRUE,12,"Pelos",13,"20250915T142624+0000",554138,"205",FALSE,FALSE,310000,"Pierre Pelos","0000826644_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30002718","fit","75611.png","EUR",141,"Noire","Francia",11.1,<chr>,<int>,<chr>,<lgl>,<dbl>,11.1,"https://supermanager.acb.com/files/logo/75557.png",5,FALSE,"P. Pelos","Dreamland Gran Canaria",33,-38.8,NA
"10/10/1994",0,55.2,"0000826559_5-6_03.jpg",TRUE,12,"Tobey",18,"20250915T142624+0000",530370,"213",FALSE,FALSE,520000,"Mike Tobey","0000826550_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212399","fit","75611.png","EUR",143,"Monroe (Nueva York)","Eslovenia",10.6,<chr>,<int>,<chr>,<lgl>,<dbl>,10.6,"https://supermanager.acb.com/files/logo/75557.png",5,FALSE,"M. Tobey","Dreamland Gran Canaria",31,-33.9,NA
"19/03/1998",0,48,"0000827500_5-6_03.jpg",TRUE,6,"Olinde",19,"20250915T142624+0000",521739,"205",FALSE,FALSE,340000,"Louis Olinde","0000827475_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003994","fit","75632.png","EUR",66,"Hamburg","Alemania",10.4,<chr>,<int>,<chr>,<lgl>,<dbl>,10.4,"https://supermanager.acb.com/files/logo/75575.png",5,FALSE,"L. Olinde","BAXI Manresa",28,-27.1,NA
"29/04/1992",0,51.8,"0000867498_5-6_03.jpg",TRUE,6,"Bassas",6,"20250915T142625+0000",470690,"181",TRUE,FALSE,2e+05,"Ferran Bassas","0000867490_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20200243","fit","75632.png","JFL",212,"Barcelona","España",9.4,<chr>,<int>,<chr>,<lgl>,<dbl>,9.4,"https://supermanager.acb.com/files/logo/75575.png",1,FALSE,"F. Bassas","BAXI Manresa",34,-32.9,NA
"12/08/1998",0,41.6,"0000826488_5-6_03.jpg",TRUE,12,"Kuath",23,"20250915T142624+0000",411923,"208",FALSE,FALSE,480000,"Kur Kuath","0000826466_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003949","fit","75611.png","EXT",139,"Jartum","EE.UU.",8.2,<chr>,<int>,<chr>,<lgl>,<NULL>,8.2,"https://supermanager.acb.com/files/logo/75557.png",5,TRUE,"K. Kuath","Dreamland Gran Canaria",27,-25.1,NA
"07/10/1999",0,41.8,"0000827470_5-6_03.jpg",TRUE,6,"Akobundu",0,"20250915T142624+0000",350938,"208",FALSE,FALSE,480000,"Kaodirichi Akobundu","0000827449_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003951","fit","75632.png","COT",63,"Mbaise","Nigeria",7,<chr>,<int>,<chr>,<lgl>,<dbl>,7,"https://supermanager.acb.com/files/logo/75575.png",5,FALSE,"K. Akobundu","BAXI Manresa",26,-27.7,NA
"03/11/1994",0,23.1,"0000826580_5-6_03.jpg",TRUE,12,"Salvó",10,"20250915T142624+0000",299444,"205",TRUE,FALSE,240000,"Miquel Salvó","0000826571_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212441","injured","75611.png","JFL",146,"Vilanova i la Geltrú","España",6,<chr>,<int>,<chr>,<lgl>,<NULL>,6,"https://supermanager.acb.com/files/logo/75557.png",3,FALSE,"M. Salvó","Dreamland Gran Canaria",31,-11.1,NA
"13/10/1999",0,13.6,"0000913700_5-6_03.jpg",TRUE,6,"Duke Jr",3,"20260401T161045+0000",288750,"193",FALSE,FALSE,380000,"David Duke Jr","0000913686_5-6_03.jpg",NA,"fit","75632.png","EXT",321,"Rhode Island","EE.UU.",5.8,<chr>,<int>,<chr>,<lgl>,<dbl>,5.8,"https://supermanager.acb.com/files/logo/75575.png",3,TRUE,"D. Duke Jr","BAXI Manresa",26,-2,NA
"21/03/1990",0,29.4,"0000826279_5-6_03.jpg",TRUE,12,"Albicy",6,"20250915T142624+0000",282963,"178",FALSE,FALSE,4e+05,"Andrew Albicy","0000826260_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212190","fit","75611.png","EUR",145,"Sévres","Francia",5.7,<chr>,<int>,<chr>,<lgl>,<dbl>,5.7,"https://supermanager.acb.com/files/logo/75557.png",1,FALSE,"A. Albicy","Dreamland Gran Canaria",36,-18.1,NA
"20/04/1994",0,18.2,"0000877366_5-6_03.jpg",TRUE,12,"Robertson",30,"20260122T195028+0000",280000,"190",FALSE,FALSE,490000,"Kassius Robertson","0000877363_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000287","fit","75611.png","COT",285,"Toronto","Jamaica",5.6,<chr>,<int>,<chr>,<lgl>,<dbl>,5.6,"https://supermanager.acb.com/files/logo/75557.png",3,FALSE,"K. Robertson","Dreamland Gran Canaria",32,-7,NA
"28/08/2001",0,29.5,"0000827523_5-6_03.jpg",TRUE,6,"Steinbergs",12,"20250915T142624+0000",247500,"208",FALSE,FALSE,230000,"Marcis Steinbergs","0000827508_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000133/temporada_id/2025/casa_fuera_id/0/victorias_derrotas_id/0/mes_id/0#cuerpo","fit","75632.png","EUR",65,"Riga","Letonia",4.9,<chr>,<int>,<chr>,<lgl>,<dbl>,5,"https://supermanager.acb.com/files/logo/75575.png",5,FALSE,"M. Steinbergs","BAXI Manresa",24,-19.6,NA
"30/12/2000",0,13,"0000826339_5-6_03.jpg",TRUE,12,"Alocén",12,"20250915T142624+0000",2e+05,"194",TRUE,FALSE,340000,"Carlos Alocén","0000826320_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20210357","fit","75611.png","JFL",149,"Zaragoza","España",4,<chr>,<int>,<chr>,<lgl>,<dbl>,4,"https://supermanager.acb.com/files/logo/75557.png",1,FALSE,"C. Alocén","Dreamland Gran Canaria",25,-5,NA
"26/01/2001",0,21.1,"0000826684_5-6_03.jpg",TRUE,12,"Samar",5,"20250915T142624+0000",191379,"197",TRUE,FALSE,2e+05,"Ziga Samar","0000826673_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000291","fit","75611.png","JFL",147,"Jesenice","Eslovenia",3.8,<chr>,<int>,<chr>,<lgl>,<dbl>,3.8,"https://supermanager.acb.com/files/logo/75557.png",1,FALSE,"Z. Samar","Dreamland Gran Canaria",25,-13.4,NA
"16/04/2003",0,10.4,"0000827412_5-6_03.jpg",TRUE,6,"Knudsen",18,"20250915T142624+0000",168150,"202",TRUE,FALSE,260000,"Gustav Knudsen","0000827393_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000207","fit","75632.png","JFL",71,"Lyngby-Taarbaek","Dinamarca",3.6,<chr>,<int>,<chr>,<lgl>,<dbl>,-3.2,"https://supermanager.acb.com/files/logo/75575.png",3,FALSE,"G. Knudsen","BAXI Manresa",23,-16.8,NA
